Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),RH (%),WS (m/s),WD (deg),SR (W/mt2),VWS (m/s)
1/1/2021 0:00,218.81,685.18,188.63,178.37,259.12,112.44,14.83,3.68,17.68,10.51,85.11,17.91,29.37,68.49,0.68,83.7,138.99,-0.04
1/2/2021 0:00,138.8,421.6,44.01,132.13,105.49,117.7,8.73,2.09,10.74,4.5,36.67,8.09,7.46,57.16,0.71,117.82,109.29,-0.04
1/3/2021 0:00,75.31,198.32,23.04,66.99,54.01,65.29,9.23,1.28,6.13,2.02,17.74,4.39,0.38,77.1,0.9,112.79,111.44,-0.04
1/4/2021 0:00,53.34,130.81,44.14,66.57,70.72,66.82,10.65,1.44,5.79,1.77,30.67,6.36,4.51,87.72,0.7,152.05,124.18,-0.05
1/5/2021 0:00,40.43,106.09,29.73,56.72,53.95,89.18,8.14,1.26,3.93,2.34,24.8,6.9,7.56,83.86,0.86,74.31,104.25,-0.05
1/6/2021 0:00,58.42,189.1,62.66,57.1,80.5,73.76333333333334,9.96,1.33,8.46,6.84,43.79,8.38,8.13,90.26,0.74,163.48,107.73,-0.05
1/7/2021 0:00,40.75,153.63,15.31,39.97,33.51,78.0,5.3,0.86,9.18,1.77,24.44,3.71,2.61,83.53,0.43,263.33,102.42,-0.05
1/8/2021 0:00,70.24,227.2,30.02,54.49,53.0,89.18,7.57,1.1,4.22,5.58,44.52,6.02,6.29,83.92,0.48,165.11,91.79,-0.04
1/9/2021 0:00,63.24,191.47,16.86,53.26,41.79,79.38866666666667,7.76,1.01,5.24,4.63,25.31,4.21,2.33,78.41,0.49,284.47,102.21,-0.04
1/10/2021 0:00,45.89,116.56,13.43,38.1,31.01,82.53083333333333,5.19,0.82,9.06,1.81,10.52,1.45,3.7433333333333336,71.45,0.67,297.46,137.5,-0.03
1/11/2021 0:00,49.26,175.68,12.05,40.1,30.97,80.31444444444445,5.86,1.15,5.65,4.3,17.66,3.05,1.83,73.81,0.74,284.4,135.86,-0.03
