Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),RH (%),WS (m/s),WD (deg),SR (W/mt2)
1/1/2021 0:00,182.67,573.41,308.85,92.4,296.22,89.74,13.7,4.29,16.5,8.52,87.99,22.47,39.15,79.05,0.24,197.45,46.58
1/1/2021 1:00,172.26,596.9,355.11,91.1,332.55,90.13,17.25,4.62,15.79,8.47,104.68,22.09,38.76,81.61,0.31,145.17,47.6
1/1/2021 2:00,168.35,571.58,458.04,96.05,417.52,90.2,23.02,5.0,18.45,8.9,101.63,24.68,40.86,83.26,0.27,160.06,47.78
1/1/2021 3:00,178.9,606.03,383.82,92.56,356.28,90.68,10.48,3.81,19.8,7.99,85.37,21.96,36.05,84.88,0.28,164.68,48.2
1/1/2021 4:00,175.545,586.98,376.45500000000004,93.0275,350.6425,90.1875,16.1125,4.43,17.634999999999998,8.47,94.9175,22.8,38.705,82.2,0.275,166.84,47.54
1/1/2021 5:00,175.545,586.98,376.45500000000004,93.0275,350.6425,90.1875,16.1125,4.43,17.634999999999998,8.47,94.9175,22.8,38.705,82.2,0.275,166.84,47.54
1/1/2021 6:00,175.545,586.98,376.45500000000004,93.0275,350.6425,90.1875,16.1125,4.43,17.634999999999998,8.47,94.9175,22.8,38.705,82.2,0.275,166.84,47.54
1/1/2021 7:00,180.95,540.63,376.45500000000004,94.06,422.34,90.41,9.15,4.68,12.64,11.32,91.6,16.76,30.38,88.44,0.76,32.44,75.85
1/1/2021 8:00,218.54,740.11,372.71,122.59,366.02,90.11,12.55,3.93,17.78,12.39,111.65,16.55,29.84,88.47,0.87,14.85,133.68
1/1/2021 9:00,261.78,944.86,357.61,180.72,382.22,89.76,17.52,4.67,21.22,12.54,121.16,18.2,31.62,89.11,0.86,10.89,268.38
1/1/2021 10:00,265.97,886.45,199.35,273.11,304.75,110.47,20.6,4.41,19.83,13.27,131.2,23.12,34.43,87.88,1.01,17.51,346.65
