Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),TOT-RF (mm),SR (W/mt2),VWS (m/s)
1/1/2021 0:00,122.91,237.36,44.34,54.73,99.08,39.6,12.35,1.26,56.18,20.27,18.4,4.52,20.6,18.89,57.5,0.48,226.47,0.0,50.99,0.05
1/2/2021 0:00,202.91,352.27,61.3,70.56,131.88,43.22,13.53,1.7,46.58,25.95,19.63,5.71,22.48,18.55,59.87,0.33,264.16,0.0,49.79,0.04
1/3/2021 0:00,201.11,346.93,126.6,69.79,196.39,51.45,8.11,2.16,43.68,28.37,31.63,8.0,36.37,19.07,65.9,0.21,193.85,0.0,49.87,0.04
1/4/2021 0:00,140.19,250.07,65.66,65.96,131.8,44.01,10.03,1.73,41.24,31.91,26.23,8.08,30.92,20.51,64.64,0.25,155.85,0.0,51.5,0.05
1/5/2021 0:00,100.69,195.65,48.95,53.36,102.31,41.4,10.43,1.31,41.56,27.0,25.75,7.92,29.06,21.65,64.37,0.28,197.01,0.0,51.45,0.05
1/6/2021 0:00,133.03,252.27,82.03,65.18,147.23,46.7,8.88,1.96,40.71,36.21,36.32,9.52,41.9,22.35,68.58,0.18,166.16,0.0,49.47,0.04
1/7/2021 0:00,126.6,224.91,49.24,65.89,115.54,44.37,18.76,1.45,44.04,18.74,21.48,9.21,30.68,23.73,63.2,0.17,223.16,0.0,46.7,0.04
1/8/2021 0:00,90.71,123.13,28.23,53.29,81.52,39.64,14.16,0.99,38.77,19.55,18.72,5.29,20.45,23.97,55.83,0.36,213.24,0.0,50.03,0.05
1/9/2021 0:00,89.35,127.65,24.69,35.94,60.64,38.02,10.78,0.84,56.53,11.59,11.99,3.07,11.76,23.48,59.5,0.22,223.27,0.0,49.29,0.03
1/10/2021 0:00,83.83,210.11,24.71,30.77,55.44,38.17,10.38,0.85,48.33,9.63,7.27,2.79,9.38,24.08,65.63,0.35,258.21,0.0,51.36,0.04
1/11/2021 0:00,90.98,144.49,24.13,33.43,57.57,37.97,14.64,0.9,39.84,13.68,13.06,5.36,16.19,23.84,71.67,0.4,210.52,0.0,47.29,0.05
1/12/2021 0:00,90.01,132.41,24.29,21.71,46.12,37.12,8.98,0.71,64.42,11.4,10.28,2.74,10.44,22.02,66.03,0.39,216.89,0.0,50.95,0.03
1/13/2021 0:00,100.14,144.77,24.83,16.44,41.28,35.0,4.98,0.64,73.85,7.65,7.28,1.45,6.09,19.26,65.17,0.38,206.4,0.0,50.27,0.0
1/14/2021 0:00,118.47,158.21,25.0,23.65,48.65,35.57,7.13,0.76,67.11,8.32,8.2,1.34,5.84,19.45,61.07,0.38,215.03,0.0,48.74,0.01
1/15/2021 0:00,127.06,240.18,24.64,34.94,59.58,34.98,10.0,0.87,67.41,12.49,11.09,2.46,11.31,18.97,58.34,0.25,242.08,0.0,48.85,0.03
