Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),TOT-RF (mm),SR (W/mt2)
1/1/2021 0:00,152.6,402.9,20.1,73.05,93.15,39.78,12.53,1.25,17.5,16.13,16.09,4.38,18.76,17.42,58.2,0.24,174.0,0.0,21.88
1/1/2021 1:00,151.15,328.4,16.27,52.22,68.5,37.27,10.36,0.93,27.89,10.23,12.51,4.14,16.55,17.1,57.15,0.33,186.64,0.0,22.18
1/1/2021 2:00,140.72,199.8,17.45,38.3,55.78,37.41,10.88,0.6,44.81,6.99,9.79,3.19,12.14,16.96,58.13,0.43,180.65,0.0,21.6
1/1/2021 3:00,124.57,178.05,16.1,35.47,51.58,37.64,9.85,0.53,45.98,5.78,7.67,1.98,8.48,16.39,63.17,0.29,353.84,0.0,21.65
1/1/2021 4:00,104.65,181.55,15.45,32.8,48.28,35.49,8.43,0.49,51.55,5.45,6.6,1.61,7.15,16.01,64.16,0.34,179.03,0.0,22.25
1/1/2021 5:00,109.57,182.75,15.1,39.33,54.45,35.17,20.26,0.53,49.06,5.31,5.54,1.37,6.17,15.88,62.42,0.67,177.35,0.0,22.12
1/1/2021 6:00,120.0,207.48,19.33,39.08,58.38,38.01,18.77,0.68,56.61,5.51,5.2,1.3,5.78,15.69,63.26,0.64,342.2,0.0,25.42
1/1/2021 7:00,126.0,233.73,20.2,44.45,64.65,39.31,24.8,0.89,55.15,6.32,5.44,1.23,5.52,16.48,60.55,0.72,178.33,0.0,41.82
1/1/2021 8:00,131.05,271.68,20.35,39.88,60.2,37.55,20.48,0.79,69.44,6.27,6.81,1.43,5.52,18.09,54.3,0.77,94.54,0.0,88.4
1/1/2021 9:00,131.43,245.18,19.82,35.85,55.65,36.54,13.5,0.77,82.26,6.27,6.28,1.14,5.01,19.96,47.68,0.9,267.79,0.0,79.95
1/1/2021 10:00,130.72,233.23,19.1,31.65,50.8,36.97,10.8,0.67,95.59,7.44,6.41,1.22,5.35,21.6,43.68,0.81,182.71,0.0,63.32
1/1/2021 11:00,127.85,252.82,18.88,30.45,49.35,38.06,12.98,0.64,100.21,6.49,6.46,1.69,5.74,22.81,42.34,0.6,184.57,0.0,89.43
1/1/2021 12:00,112.78,227.82,18.65,25.5,44.18,35.99,12.6,0.54,106.02,10.01,9.8,2.12,6.88,23.42,41.57,0.66,178.53,0.0,186.12
1/1/2021 13:00,101.18,171.65,18.55,24.4,42.92,34.82,13.54,0.57,109.76,8.27,8.56,3.23,9.0,23.88,38.83,0.91,262.73,0.0,163.1
1/1/2021 14:00,95.1,170.35,19.18,25.58,44.72,36.55,9.39,0.56,108.44,11.78,7.94,6.37,23.56,23.98,37.89,0.77,355.52,0.0,110.28
1/1/2021 15:00,90.08,168.58,19.42,29.12,48.58,38.18,10.2,0.57,103.26,14.43,10.99,11.06,56.16,23.33,39.69,0.8,344.99,0.0,51.82
